time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:00:8,124.65.136.162,3,2486596,1119280,1831,823,10,10,16,104,8,151,215,304,6,21,236,81664,257344,263936,12,0,23,0
19-00:00:8,124.65.136.162,88,2486589,1619634,1830,1191,11,11,21,104,10,158,221,304,6,60,241,81664,238324,263936,4,0,6,0
19-00:00:12,111.198.38.148,3,2487715,187056,1832,140,18,15,21,64,11,118,221,264,12,19,42,81600,487275,522944,9,0,16,0
19-00:00:47,123.123.255.76,3,2357257,144160,1735,106,14,14,111,350,76,347,360,737,20,179,386,81600,401861,576640,0,0,1,0
19-00:00:47,123.123.255.76,3,2357264,96560,1736,71,14,14,129,376,34,312,402,796,20,197,405,81600,396650,528576,0,0,1,0
19-00:01:50,111.194.174.227,3,2486596,346743,1830,255,51,22,81,287,117,535,356,784,6,33,100,13632,470062,522944,2,0,14,0
19-00:06:14,123.114.116.129,3,2097683,771430,1459,539,0,537,582,729,88,1110,965,1698,5,12,30,129300,129940,129940,30,0,39,1
19-00:06:14,123.114.116.129,3,2097683,703232,1461,492,0,477,579,701,110,1074,960,120000,2,13,34,129940,129940,129940,29,0,34,0
19-00:10:47,123.121.75.146,3,2437545,48960,1795,36,21,21,93,349,46,390,344,739,20,81,162,81600,470185,557632,0,0,2,0
19-00:10:47,123.121.75.146,22,2437538,72080,1795,53,99,19,63,286,52,330,288,614,13,45,67,81600,480419,522944,0,0,2,0
19-00:11:20,111.197.189.189,3,2486589,410720,1829,302,23,18,27,145,16,103,227,345,9,24,110,13632,479451,522944,7,0,17,0
19-00:12:5,111.197.189.189,3,2487715,607920,1830,447,22,20,83,288,49,202,306,603,15,99,183,13632,413181,522944,0,0,3,0
19-00:12:5,111.197.189.189,3,2487722,503248,1831,371,22,20,73,294,39,248,289,588,10,78,160,13632,436605,522944,0,0,3,0
19-00:12:37,114.242.219.62,3,2338788,1694560,1722,1246,14,14,23,48,19,203,224,1126,2,26,104,81600,499431,522944,19,0,15,2
19-00:12:37,114.242.219.62,3,2338795,1618400,1724,1190,17,16,23,41,15,82,226,1153,5,22,150,81600,502204,522944,18,0,17,1
19-00:15:39,123.115.63.244,3,2486589,127840,1830,94,27,16,34,117,32,94,233,317,20,97,124,81600,616256,775232,0,0,2,0
19-00:16:5,123.117.97.16,3,2252364,243440,1658,179,17,16,38,80,20,96,237,280,20,165,305,81600,422557,837760,0,0,3,0
19-00:16:5,123.117.97.16,3,2252358,59840,1658,44,16,16,24,78,13,101,223,278,20,49,178,81600,470712,522944,0,0,3,0
19-00:17:45,61.148.244.156,3,2336101,0,1671,0,51,44,303,809,47,713,682,1260,20,258,821,14848,666208,2095872,0,0,0,0
19-00:19:27,123.117.61.222,3,2440771,102000,1797,75,20,20,118,349,32,231,330,580,20,227,433,13632,299287,522944,0,0,1,0
19-00:18:44,111.207.13.44,10,2340699,1002470,1723,739,24,21,75,2537,132,6411,362,67947,5,11,32,3968,234764,522944,37,0,52,1
19-00:19:46,123.123.144.228,11,2486596,322320,1829,237,22,22,284,3070,113,2753,1234,6668,20,207,433,13632,327669,522944,0,0,2,0
19-00:22:0,114.254.71.22,20,2210924,730320,1629,537,26,16,31,66,27,182,230,266,13,77,180,81600,423713,522944,2,0,2,0
19-00:22:0,114.254.71.22,20,2210918,220320,1628,162,26,14,24,92,22,166,223,292,6,23,41,81600,480876,522944,9,0,10,0
19-00:25:50,123.119.164.108,33,2271643,980560,1672,721,27,27,151,550,83,825,467,2688,20,136,353,81600,379088,554880,3,0,4,0
19-00:28:46,123.119.234.50,3,2486589,201280,1831,148,12,12,177,309,26,145,377,509,20,184,245,81664,228371,263936,0,0,1,0
19-00:29:19,123.119.234.50,3,2293385,1360,1688,1,133,35,465,1058,131,1313,1148,2367,20,184,244,81664,225642,263936,0,0,0,0
19-00:33:30,123.120.113.224,3,2210924,27200,1628,20,43,22,52,85,30,123,252,285,20,123,199,81664,227472,263936,0,0,1,0
