time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:02:25,114.244.81.186,3,1144582,245302,845,181,16,15,37,103,21,56,237,303,20,139,406,81600,287210,522944,0,0,1,0
19-00:02:25,114.244.81.186,3,1144589,218960,844,161,14,14,50,124,35,112,250,324,20,126,271,81600,337976,522944,0,0,1,0
19-00:18:48,111.194.247.79,3,1293387,284267,952,210,13,13,14,16,4,26,213,216,6,14,30,81600,435742,522944,14,0,17,0
19-00:18:47,114.240.185.209,3,1298041,41401,955,31,26,26,187,2404,171,1804,1403,5927,5,72,141,13632,367958,522944,1,0,0,1
19-00:22:6,111.194.247.79,3,1293387,204886,953,154,15,15,17,22,6,55,217,222,6,18,32,81664,249309,263936,9,0,14,0
19-00:22:16,111.194.247.79,3,1293387,96560,952,71,17,16,18,30,7,45,217,230,12,17,37,81600,440594,522944,13,0,15,0
19-00:20:53,114.254.65.251,3,1252192,629680,923,463,17,17,208,1249,56,1365,792,120000,20,108,224,81600,331584,522944,2,1,1,0
19-00:28:13,114.245.5.178,3,1021875,654271,712,455,0,316,6329,15887,1670,5906,9819,21793,14,97,395,87616,292298,525760,0,0,1,0
19-00:28:0,124.65.28.207,3,1450080,218880,1007,152,27,27,1161,3035,1131,4026,3352,18922,20,33,79,14720,630129,1047168,3,0,9,0
19-00:29:27,123.117.57.201,3,1104173,84320,815,62,18,17,45,136,15,90,245,336,20,88,170,1052672,1052672,1052672,0,0,2,0
19-00:29:27,123.117.57.201,3,1104167,97920,813,72,26,26,49,130,21,102,248,330,19,50,98,1052672,1052672,1052672,2,0,5,0
19-00:54:12,111.198.73.42,25,1298041,49400,1000,38,43,41,68,168,43,167,268,368,20,100,236,61248,377002,843904,3,0,1,0
19-01:07:30,114.246.6.225,3,1293387,228480,953,168,17,17,20,27,8,34,220,227,6,13,39,81600,390567,522944,13,0,21,0
19-01:09:8,123.116.175.93,3,1298041,668,956,2,15,15,66,217,45,343,310,589,20,198,389,81600,368625,534528,0,0,0,0
