time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
20-18:34:53,123.117.35.252,3,10949214,202640,8054,149,24,24,281,435,31,184,480,635,20,188,433,81600,471857,552192,1,0,4,0
20-18:35:6,114.249.161.80,3,10949214,333200,8054,245,24,24,41,98,21,113,241,298,20,81,188,81600,645387,674560,0,0,4,0
20-18:34:36,123.117.249.252,17,10949206,6471008,8053,4760,33,16,41,986,65,2495,360,3521,5,15,106,81600,643486,718080,89,2,88,5
20-18:35:18,123.121.42.28,3,10949214,0,8054,0,23,23,62,89,12,80,261,289,20,184,197,81664,192577,197120,0,0,0,0
20-18:31:50,123.118.59.230,26,10949214,1338240,8054,984,0,32,426,2658,318,4222,1329,6880,1,18,38,81600,494939,522944,74,3,85,5
20-18:35:44,123.119.212.230,3,10949214,0,8054,0,24,24,67,166,15,204,269,369,20,185,194,81664,192726,197120,0,0,0,0
20-18:35:14,114.252.17.136,3,10949214,508704,8054,375,48,48,92,133,17,101,291,333,18,22,60,81600,502881,522944,83,0,112,0
20-18:35:53,123.115.91.142,3,10949206,179520,8053,132,53,39,66,220,17,239,270,459,20,126,252,81600,805708,1048576,0,0,2,0
20-18:35:58,111.197.170.226,3,10949206,28560,8053,21,64,53,116,249,29,233,332,535,20,159,245,81664,255722,263936,1,0,3,0
20-18:36:8,111.192.73.64,3,10949206,69360,8053,51,16,16,27,78,17,157,226,278,17,43,100,81600,511264,563072,5,0,19,0
20-18:35:22,114.248.191.203,15,10949214,254320,8054,187,0,65,294,6246,361,6876,1452,19566,5,38,76,81600,772668,1048576,13,4,18,2
20-18:36:22,114.248.29.89,3,10949214,133280,8054,98,16,16,112,219,21,162,311,419,20,269,434,81600,820928,1039040,0,0,3,0
