time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:02:21,123.119.35.212,3,524851,0,388,0,63,55,80,138,67,144,280,338,20,78,195,81664,154240,198656,0,0,0,0
19-00:50:48,114.252.4.5,3,524809,7566,388,6,16,16,27,60,17,34,227,260,20,58,220,81664,170905,263936,0,0,1,0
19-01:02:51,125.34.106.73,3,509289,440640,377,324,0,614,1920,12285,2852,37013,7151,120000,5,27,45,81600,370453,522944,4,0,4,1
19-01:12:26,114.246.123.148,26,503837,212208,373,157,0,46,943,3155,2005,10418,5840,13573,5,18,30,81664,224160,263936,3,0,4,1
19-01:15:12,202.108.2.42,3,519750,4050,385,3,13,12,13,13,7,26,213,213,20,89,184,0,46378,194432,0,0,0,0
19-01:37:38,117.79.93.39,3,500908,5840,344,4,10,10,11,13,7,20,211,213,20,73,157,0,39637,210304,0,0,0,0
19-01:39:56,123.118.6.101,3,524861,0,388,0,16,16,21,38,20,35,221,238,20,56,198,81600,162528,522944,0,0,0,0
19-01:48:20,111.194.172.213,3,501733,124593,359,102,21,21,813,1891,761,3101,2406,23229,6,23,30,14720,372496,911744,2,1,0,0
19-01:50:9,123.117.60.171,3,526766,313664,390,241,36,36,1211,3662,4770,23277,8353,40408,5,11,30,81664,185077,263936,9,0,7,2
19-02:41:36,111.193.68.243,3,538238,298908,375,207,12,12,958,22334,555,17780,1755,120000,20,60,180,87616,179696,459712,1,0,1,0
19-03:36:29,114.247.10.142,3,520000,543400,400,418,0,140,222,328,132,280,474,120000,20,73,144,14656,63536,124800,1,0,0,0
19-05:29:40,114.242.249.142,3,524812,7051,388,6,14,14,15,17,6,28,214,217,20,34,128,0,15076,131072,0,0,0,0
19-05:36:21,202.108.2.42,3,526174,6750,391,5,13,12,12,13,6,26,212,213,20,75,185,0,35296,194432,0,0,0,0
19-05:46:5,124.64.25.125,3,522158,159120,387,117,20,20,531,14964,695,14911,1311,120000,5,57,193,81600,164784,522944,2,0,0,1
19-05:58:58,123.118.124.146,3,522063,116316,365,81,15,15,2539,12411,995,7795,5103,68620,20,52,114,87616,165888,394944,1,0,2,0
19-06:02:10,202.108.2.42,3,530224,6750,394,5,13,13,13,14,7,26,213,214,20,75,188,0,35744,194432,0,0,0,0
19-07:41:50,111.199.47.101,3,513488,285760,368,218,16,16,273,562,1377,2272,1859,8763,5,18,38,87616,247400,451264,4,0,4,2
19-08:23:34,114.244.181.12,3,539307,0,375,0,19,16,24,73,21,66,224,273,20,56,184,14720,114892,515840,0,0,0,0
19-08:27:3,58.132.176.8,4,510075,606560,377,446,0,1970,6864,11349,5931,13742,18452,120000,5,24,55,81600,405459,522944,9,2,2,3
19-08:37:12,114.243.135.111,3,511627,16320,377,12,21,16,19,25,14,42,219,225,14,20,44,61248,223004,351296,7,0,8,0
19-08:38:50,114.245.58.139,3,501119,1444624,371,1067,0,147,245,358,404,1266,1273,7210,5,10,47,81664,234688,263936,27,0,17,9
19-09:11:18,114.244.155.155,3,513172,1056720,380,777,36,36,631,1456,2395,4732,10581,120000,5,20,156,81600,387648,528576,5,0,1,3
19-09:25:4,124.65.70.90,10,513254,1361712,356,952,14,14,611,991,475,1178,1560,5625,5,9,39,66164,66678,66700,29,0,5,23
19-09:31:31,61.50.248.5,3,524807,0,360,0,13,13,13,14,8,26,213,214,20,75,134,5888,70670,131072,0,0,0,0
19-09:31:32,61.50.248.5,3,524810,0,361,0,13,13,13,14,9,26,213,214,20,73,137,5888,67470,131072,0,0,0,0
19-09:31:33,61.50.248.5,3,524810,0,361,0,14,13,13,14,11,43,213,214,20,72,134,5888,67456,131072,0,0,0,0
19-09:31:34,61.50.248.5,3,524810,0,361,0,14,13,14,15,12,33,214,215,20,73,134,5888,70883,131072,0,0,0,0
19-09:31:36,61.50.248.5,3,524808,0,361,0,14,13,13,14,8,26,213,214,20,73,135,5888,67783,131072,0,0,0,0
19-09:31:40,61.50.248.5,3,524810,0,361,0,14,13,13,14,8,28,213,214,20,72,137,5888,67015,131072,0,0,0,0
19-09:31:41,61.50.248.5,3,524808,0,361,0,14,13,14,15,9,26,214,215,20,73,136,5888,69233,131072,0,0,0,0
19-09:31:44,61.50.248.5,3,524808,0,361,0,14,13,14,14,8,28,213,214,20,72,136,5888,68408,131072,0,0,0,0
19-09:44:35,114.251.225.1,3,523233,546720,387,402,13,13,22,72,13,52,222,120000,2,87,198,81664,169625,262400,1,0,1,0
19-09:45:25,124.65.70.90,14,531432,884452,368,621,13,13,430,543,197,1145,1064,2848,5,11,41,66172,66676,66700,29,0,3,25
19-09:49:29,124.65.70.90,3,536700,804564,372,565,15,15,453,519,164,1168,1162,4252,5,9,38,66172,66678,66700,33,0,4,28
19-10:04:29,61.50.248.5,3,524820,0,361,0,13,13,13,15,10,26,213,215,20,72,135,5888,66844,131072,0,0,0,0
19-10:05:42,61.50.248.5,3,524820,0,361,0,14,13,14,14,16,56,213,214,20,73,134,5888,69063,131072,0,0,0,0
19-10:07:12,61.50.248.5,3,524820,0,361,0,14,13,14,14,13,44,213,214,20,74,136,5888,72320,131072,0,0,0,0
19-10:08:37,123.125.26.227,3,533760,389520,395,292,25,25,1639,3505,1173,5487,4432,39672,6,23,36,81600,355085,522944,4,0,4,0
19-10:29:29,123.123.233.174,3,535466,1105498,396,825,79,79,4632,10363,4594,24083,20938,120000,5,19,53,81664,230710,263936,7,1,4,2
19-10:34:37,114.247.10.154,3,524820,0,405,0,46,45,187,264,66,228,396,470,20,48,54,14656,41270,46848,0,0,0,0
