time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:00:21,124.65.149.186,3,1273398,909767,876,626,18,18,25,36,18,58,240,1147,5,22,95,87616,480467,522880,8,0,7,2
19-00:02:21,114.245.80.118,3,1273391,156400,940,115,28,28,83,179,48,334,332,513,20,130,219,81600,345934,522944,0,0,1,0
19-00:03:40,123.118.9.133,3,1273391,54400,939,40,34,33,50,123,27,104,249,323,20,102,160,81600,421660,767040,0,0,1,0
19-00:06:40,114.244.225.67,3,1273398,158400,1063,132,17,17,53,151,14,34,253,351,20,198,491,87616,319771,522880,0,0,1,0
19-00:06:56,123.123.246.92,3,1401690,32640,1031,24,2259,68,666,2259,2730,9039,7059,11298,20,163,433,13632,257992,522944,0,0,1,0
19-00:08:34,123.117.83.192,3,1485493,225127,1095,166,23,22,32,60,11,48,232,260,6,28,71,81600,434976,522944,0,0,4,0
19-00:09:22,123.120.21.173,3,1273398,118320,939,87,39,39,57,148,30,99,256,348,20,121,261,81600,343720,734400,0,0,1,0
19-00:09:22,123.120.21.173,3,1273391,246160,938,181,31,31,66,141,35,65,266,341,6,129,425,81600,290280,522944,0,0,1,0
19-00:09:28,114.252.235.117,3,1273398,158144,904,112,0,65,374,1147,352,1360,1244,2272,5,21,33,87616,393880,522880,6,0,9,1
19-00:16:52,114.252.152.64,18,1366297,285600,1008,210,0,107,1619,4566,448,2665,3415,6678,20,119,217,81664,212394,262400,2,0,3,0
19-00:22:53,123.114.67.107,3,1297707,0,955,0,41,41,49,68,29,82,249,268,20,137,243,81664,197504,263936,0,0,0,0
19-00:24:15,114.249.199.17,3,1480100,63536,1025,44,37,36,130,333,317,599,520,861,6,36,52,3840,9895,66304,0,0,5,0
19-00:30:22,125.33.250.85,3,1273391,196271,937,145,30,30,43,98,26,63,243,298,20,114,378,13632,268376,1048576,0,0,1,0
19-00:30:22,125.33.250.85,3,1273398,5977,938,5,28,20,28,45,27,106,227,245,8,30,45,13632,430450,522944,0,0,1,0
19-00:31:19,123.118.216.176,3,1075079,243440,791,179,17,17,33,103,18,52,233,303,20,105,359,13696,218112,816000,0,0,1,0
19-00:31:44,123.115.19.125,3,1107879,190080,772,132,63,63,90,168,62,126,289,368,20,88,410,87616,241241,522880,0,0,1,0
19-00:30:31,125.34.106.73,3,1117409,750610,825,556,0,222,1834,38348,5649,151462,9812,120000,5,17,30,81600,452037,522944,7,1,13,2
19-00:33:37,125.33.25.76,3,1273398,13600,938,10,86,64,108,342,72,315,437,940,20,78,97,81664,233113,263936,0,0,1,0
19-00:36:30,125.34.55.132,127,1180222,123760,871,91,31,31,236,734,48,435,509,1169,20,122,263,81600,321654,522944,0,0,1,0
19-00:36:30,125.34.55.132,97,1180228,297840,871,219,31,31,245,733,151,479,564,1158,20,117,311,81600,322528,631040,0,0,1,0
19-00:36:35,124.64.205.223,61,1098001,17178,846,14,0,840,1479,2437,428,1574,3068,3920,14,103,268,81664,208128,263680,2,0,2,0
19-00:36:35,124.64.205.223,93,1098008,45212,846,35,0,722,1317,2168,704,2159,2974,4327,20,76,178,81664,224128,262400,1,0,3,0
19-00:37:18,114.245.128.13,3,1241459,2880,863,2,116,66,116,251,112,348,362,632,20,83,192,14656,109079,221760,0,0,0,0
