time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-23:59:36,61.148.222.106,3,1175016,6295888,807,4333,7,7,53,64,43,117,553,2935,5,8,30,63916,64240,64240,139,0,75,65
19-00:03:0,114.244.134.108,3,1066730,125120,785,92,8,8,57,350,83,551,340,901,20,46,74,13632,402590,522944,0,0,3,0
19-00:04:7,111.201.154.148,3,1339630,753470,986,555,9,9,124,289,29,135,324,489,7,75,170,13696,386488,922112,0,0,2,0
19-00:07:7,114.253.51.190,3,1339636,0,987,0,0,46,130,230,65,211,331,430,20,166,367,13632,278688,958144,0,0,0,0
19-00:07:27,114.252.6.152,3,1339630,282880,986,208,6,6,33,81,12,92,233,281,20,181,434,13632,266830,522944,0,0,1,0
19-00:05:4,61.148.222.106,3,1340852,6330404,921,4343,8,8,58,71,45,102,794,15237,5,8,30,65536,257757,262144,162,1,96,67
19-00:08:44,111.192.244.21,3,1339630,292400,987,215,9,9,83,201,26,102,282,401,20,132,299,81600,315657,748736,0,0,2,0
19-00:08:49,111.192.73.216,3,1339636,134640,989,99,7,7,28,84,17,49,228,284,20,165,434,81600,319396,522944,0,0,1,0
19-00:18:16,123.120.202.22,3,1117471,995264,778,692,144,126,150,165,70,579,404,723,9,12,32,66240,66240,66240,0,0,1,0
19-00:18:51,123.121.213.250,3,1339630,153680,987,113,5,5,106,295,17,117,306,495,20,205,434,81600,328936,685440,0,0,1,0
19-00:19:58,123.120.212.116,3,1175834,1122011,819,781,36,36,161,182,41,283,374,444,6,11,34,66240,66240,66240,0,0,1,0
19-00:19:58,123.120.212.116,3,1176929,1121312,820,782,43,42,153,179,67,278,365,823,5,11,34,66208,66239,66240,9,0,3,7
19-00:21:13,182.18.73.210,3,1338507,329120,985,242,9,9,2668,9106,3330,47331,9831,120000,5,23,44,81600,478162,522944,7,2,7,1
19-00:25:6,124.64.92.76,3,1339636,296480,988,218,6,6,42,140,22,145,241,340,20,127,433,81600,328808,522944,0,0,1,0
19-00:27:55,123.123.181.96,3,1073483,16320,791,12,13,13,28,354,26,471,228,826,20,94,380,81600,235161,522944,1,0,1,0
19-00:28:25,114.252.116.100,3,1339630,2720,986,2,6,6,51,171,19,50,251,371,20,126,433,13632,223960,522944,0,0,1,0
19-00:29:27,123.123.70.72,3,1249539,12240,920,9,6,6,32,56,40,121,231,256,20,93,134,13632,286833,625600,0,0,1,0
19-00:29:33,123.114.62.69,3,1339636,0,986,0,7,7,53,160,11,205,254,365,20,154,404,13632,259280,522944,0,0,0,0
