time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:52:7,123.117.142.99,3,1443932,12240,1063,9,16,16,40,84,28,138,240,284,20,123,228,81600,379155,522944,0,0,1,0
19-00:52:7,123.117.142.99,3,1443939,20400,1065,15,17,17,43,90,24,99,243,290,20,109,158,81600,429074,522944,0,0,1,0
19-00:51:22,123.115.32.227,3,1424566,132162,1050,99,16,16,1105,3835,1479,6900,4030,10735,6,25,40,81600,474563,522944,3,2,3,0
19-00:54:12,111.197.173.197,3,1221723,452880,900,333,0,394,11439,41777,5899,23490,18705,120000,20,159,434,61248,281322,522944,1,0,0,0
19-01:00:32,123.117.83.192,3,1319726,496400,973,365,20,20,42,53,11,40,242,253,14,30,84,81600,439576,639232,2,0,3,0
19-01:00:32,123.117.83.192,3,1319732,185024,974,137,22,22,37,55,9,53,237,255,12,19,48,81600,431502,655552,2,0,5,0
19-01:00:35,111.201.79.7,3,1471179,164160,1022,114,12,12,1121,3587,559,3270,2523,23752,20,122,393,29248,233563,525760,2,0,1,0
19-01:04:1,114.246.175.125,127,1319726,0,973,0,349,44,260,702,375,1481,1296,2000,20,137,211,81600,386668,522944,0,0,0,0
19-01:13:48,124.64.183.44,3,1319726,59840,973,44,15,15,61,162,43,198,261,363,20,127,373,81600,332296,522944,0,0,1,0
19-01:13:48,124.64.183.44,3,1319732,89760,973,66,18,18,64,163,42,215,270,370,20,160,381,81600,325319,522944,0,0,1,0
19-01:11:35,114.247.10.166,4,1124500,560300,865,431,99,99,906,2060,315,1656,1643,120000,20,64,88,14656,59804,75456,8,0,0,0
19-01:12:49,123.123.118.162,3,1194960,510252,856,371,0,116,1525,4997,4571,13529,9023,35056,2,17,47,0,70258,262144,11,0,13,2
19-01:17:23,123.123.199.157,3,1059364,0,781,0,12,12,264,860,79,332,526,1245,20,169,377,81600,325156,522944,0,0,0,0
19-01:17:23,123.123.199.157,3,1059357,0,780,0,18,18,252,856,85,377,520,1322,20,153,380,81600,316507,522944,0,0,0,0
