time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-05:53:18,123.121.148.62,3,217756,0,154,0,29,29,30,32,30,58,230,232,20,39,90,14720,52160,173056,0,0,0,0
19-06:03:42,202.106.16.36,3,206599,7300,142,5,17,16,19,24,26,42,219,224,20,29,30,0,14600,17520,0,0,0,0
19-06:09:30,123.121.98.155,3,211723,15840,150,11,138,81,226,454,287,545,592,999,20,31,55,87808,110762,185600,0,0,2,0
19-06:38:28,114.249.95.243,3,228039,8640,161,6,27,27,58,135,106,204,277,393,20,34,84,87680,123178,297856,0,0,1,0
19-06:48:39,123.118.227.144,3,236203,0,165,0,33,33,53,113,36,176,252,313,20,58,116,87808,153984,263424,0,0,0,0
19-06:53:17,123.123.163.108,3,203439,1799,144,2,0,264,340,1387,477,2269,1042,3656,20,42,78,14656,60576,297792,1,1,0,0
19-07:19:48,123.119.177.94,3,232125,1310,173,1,23,23,24,25,14,46,224,225,20,30,47,37636,65535,65535,0,0,0,0
19-07:28:15,114.242.250.54,3,247879,0,179,0,20,19,20,22,31,40,220,222,20,36,111,129536,130048,131072,0,0,0,0
19-07:31:44,111.192.231.37,3,211754,40925,152,30,33,22,32,54,32,68,251,348,5,31,56,87616,211712,467200,1,0,1,1
19-07:36:4,123.117.70.77,3,201239,0,149,0,23,21,24,29,36,46,224,229,20,38,86,81600,110634,231232,0,0,0,0
19-07:42:59,125.34.25.238,3,211754,1412,153,1,0,34,258,381,160,514,675,843,20,36,58,14656,160914,460992,0,0,0,0
19-07:52:26,114.249.97.246,3,207895,41760,145,29,24,24,80,154,62,147,280,354,8,21,30,14720,78116,174080,0,0,3,0
19-07:52:59,123.112.158.34,3,223729,0,163,0,25,25,27,29,16,50,227,229,20,34,46,260864,261888,262144,0,0,0,0
19-07:53:54,111.192.241.251,3,203096,0,147,0,67,43,65,83,84,134,265,283,20,36,63,14608,56548,96112,0,0,0,0
19-07:54:17,58.133.131.32,3,223729,3412,155,3,22,22,23,26,15,44,223,226,6,22,41,40736,65439,65535,0,0,1,0
19-08:02:21,61.50.213.225,21,223729,35040,155,24,32,23,25,32,19,91,225,232,6,15,38,61320,65700,65700,4,0,6,0
19-08:11:6,61.148.222.66,3,247082,451864,172,312,0,922,1913,3234,1778,5400,6590,8634,5,11,51,129940,129940,129940,0,0,1,0
19-08:12:37,111.197.228.4,3,211243,0,157,0,28,27,49,94,32,172,249,294,20,58,112,81664,148352,263936,0,0,0,0
19-08:12:50,111.192.224.110,3,218010,0,157,0,26,26,29,31,20,52,228,231,20,43,63,261120,261802,262144,0,0,0,0
