time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-12:49:51,123.122.147.134,3,202285,682720,151,502,29,26,154,307,258,486,633,120000,16,34,92,81600,170832,373760,2,0,1,0
19-12:52:39,114.252.29.211,3,202269,1440,142,1,76,76,160,361,215,311,421,672,20,40,84,14720,54400,156928,0,0,0,0
19-12:52:39,114.252.29.211,3,237600,1440,165,1,64,64,143,314,205,332,407,650,20,38,93,14720,52832,196096,0,0,0,0
19-13:06:51,118.26.143.38,3,213179,283142,165,219,0,53,208,701,290,649,828,1395,6,12,31,81600,152137,221440,0,0,2,0
19-13:10:49,114.247.83.128,3,237980,1738860,163,1191,17,17,53,414,179,1122,1028,1642,3,9,30,5840,27010,70080,7,0,7,2
19-13:16:55,123.123.181.76,3,216683,0,161,0,17,17,20,30,29,34,220,230,20,35,90,81600,109717,315520,0,0,0,0
19-13:16:55,123.123.181.76,3,204457,0,153,0,16,16,19,30,35,42,218,230,20,31,77,81600,109525,264960,0,0,0,0
19-13:17:58,111.201.19.109,3,236467,20868,204,22,12,12,22,61,46,231,236,292,6,27,32,81600,287910,522944,0,0,1,0
19-13:21:42,111.193.75.163,3,235355,168640,175,124,152,130,3308,17129,3351,46342,8083,120000,5,43,76,81600,176144,459712,2,1,0,1
19-13:32:3,61.149.183.86,47,238318,759874,166,538,0,451,681,1048,649,2096,2987,5100,2,11,30,261376,261990,262144,3,0,1,2
19-13:37:20,182.48.111.129,29,249978,1325106,174,910,13,13,16,18,14,26,1459,41526,5,9,30,65536,233947,262144,17,0,6,13
19-13:38:22,114.247.83.128,4,234116,1700484,161,1177,21,21,107,555,301,2087,1186,3957,4,7,30,5840,33235,99280,11,0,7,4
19-13:44:48,202.60.121.81,12,249088,1788020,173,1275,143,49,624,1151,904,2390,2323,13833,5,23,58,65536,222822,262144,12,0,0,12
19-13:50:21,111.192.79.83,10,220961,566516,165,419,0,1441,4253,7174,11618,22551,23129,65151,5,11,37,81664,132352,191488,5,0,3,2
19-14:14:18,125.34.19.190,3,223939,2100,197,5,19,19,34,75,77,227,270,425,20,36,42,81600,360495,522944,0,0,0,0
19-14:13:14,114.247.83.128,13,239975,3118460,165,2141,13,13,13,179,26,1354,8386,27540,1,8,30,5840,28675,58400,7,0,6,2
19-14:13:29,111.207.168.20,3,204951,837266,142,585,15,15,1295,2179,6519,12859,9704,26245,5,11,37,129940,129940,129940,10,0,3,8
19-14:15:55,114.249.204.168,3,227687,407857,176,317,0,149,156,164,45,298,487,895,4,9,30,370984,372110,372296,17,0,2,16
19-14:21:57,61.48.42.174,11,222127,406496,166,300,18,18,43,210,30,542,286,752,6,16,34,81664,186400,263936,1,0,2,0
19-14:20:36,114.245.128.145,3,205803,620160,153,456,19,18,58,19797,92,49008,264,120000,20,34,62,81600,133296,337280,2,1,1,0
19-14:21:21,111.207.168.20,3,216079,806728,149,555,13,13,492,1738,2725,9231,5534,71140,5,17,40,128804,129940,129940,10,0,4,6
19-14:26:15,111.204.40.92,10,216106,272000,152,227,0,622,4269,15229,4280,16096,13392,120000,6,26,36,87616,170201,349248,1,0,1,0
19-14:28:16,123.113.159.244,3,217579,0,151,0,12,12,19,31,17,37,219,231,20,53,102,244720,259236,262144,0,0,0,0
19-14:25:39,111.207.168.20,3,239155,1493170,166,1033,14,14,1472,3793,7513,23416,9599,120000,5,13,39,129940,129940,129940,15,0,3,13
19-14:30:4,202.106.16.36,3,208775,42340,144,29,9,9,9,9,5,18,209,313,13,29,30,7300,13870,17520,1,0,0,0
19-14:31:12,114.247.83.128,21,219537,3015353,151,2071,13,13,13,13,26,26,1367,2418,1,10,30,5840,19698,40880,3,0,6,1
19-14:38:12,202.106.16.36,3,209367,96360,144,66,9,9,9,10,6,18,209,708,13,29,30,0,12241,17520,1,0,0,0
19-14:37:59,114.245.91.190,44,227120,644640,167,474,20,20,1456,3533,1383,3702,3371,120000,19,28,52,13632,58764,141440,1,0,2,0
19-14:53:22,118.26.65.163,3,228488,0,171,0,18,17,83,242,85,252,293,494,20,63,107,81664,233728,523008,0,0,0,0
19-15:00:57,123.120.170.11,3,203336,166980,144,115,0,605,995,1732,899,1696,2595,16557,17,26,34,129940,129940,129940,2,0,3,0
19-15:27:3,124.65.121.214,55,224299,595680,167,438,0,554,2227,12710,1345,18742,5961,120000,7,22,61,81600,108821,201280,1,0,1,0
