time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-23:57:46,123.118.224.61,3,5312427,680000,3907,500,0,74,244,1124,76,1058,613,120000,20,113,244,81664,251769,263936,2,0,4,0
19-00:04:16,114.242.249.192,3,5742728,5981,4224,5,25,24,26,30,8,50,225,230,20,344,418,1280,100242,583424,0,0,0,0
19-00:04:35,123.119.135.46,3,5710832,2205,3971,3,42,30,39,50,8,84,238,250,20,65,69,0,62060,65535,0,0,0,0
19-00:04:11,124.65.206.220,17,5529392,355824,3916,252,31,31,565,14912,704,17564,2247,32476,6,23,85,14656,726468,785024,25,3,31,0
19-00:08:15,124.64.242.71,3,5375950,550435,3956,405,30,30,215,904,97,346,482,2300,6,274,584,81600,624816,1048576,1,0,3,0
19-00:08:15,124.64.242.71,89,5375958,746640,3956,549,31,31,201,801,158,1312,698,2197,20,217,503,81600,597334,1048576,3,0,4,0
19-00:04:56,114.246.126.221,3,5710640,36720,4199,27,56,56,3758,26624,1134,15524,6979,42148,11,53,271,13696,921551,1047296,2,1,1,0
19-00:12:38,123.117.149.247,3,5272555,1360,3879,1,26,26,63,108,21,58,263,308,20,230,434,81600,691287,1048576,1,0,1,0
19-00:17:44,114.249.45.3,3,5279637,698600,3773,499,60,60,364,1059,268,3326,1037,4091,5,37,119,65792,259962,262144,3,1,18,1
19-00:18:52,114.249.236.77,127,5764967,1753288,4248,1300,25,25,550,3144,203,3353,1569,6497,6,158,438,0,578210,1048576,3,0,4,0
19-00:19:48,111.192.94.217,127,5189250,313920,3609,218,79,30,49,139,36,158,248,339,20,91,180,87680,603305,785024,2,0,3,0
19-00:21:28,123.123.4.217,3,5774816,0,4249,0,17,17,264,452,25,116,463,652,20,324,433,81600,428829,522944,0,0,0,0
19-00:23:11,114.249.199.17,3,5152623,280136,3569,194,36,36,85,379,151,670,368,1008,6,37,60,3840,5554,66304,0,0,17,0
19-00:29:37,123.116.158.199,3,5077986,95200,3738,70,20,18,33,72,27,73,232,272,20,58,82,0,711572,1048576,0,0,4,0
19-00:34:14,203.192.13.165,89,5740955,276080,4223,203,21,21,84,428,57,261,424,1241,20,235,392,81600,645040,870400,1,1,2,0
19-00:34:14,203.192.13.165,3,5740963,29920,4224,22,27,27,59,432,35,461,319,1305,17,98,135,81600,487013,533120,1,1,3,0
19-00:36:34,114.240.238.75,3,5740955,24747,4223,19,19,19,36,75,26,127,236,275,20,59,182,81600,504601,578048,0,0,1,0
19-00:36:34,114.240.238.75,3,5740963,1360,4224,1,23,23,42,76,24,98,241,276,20,57,151,81600,502651,522944,0,0,1,0
19-00:36:18,111.194.11.169,3,5524933,1108368,4065,819,43,43,74,129,15,249,277,378,8,14,32,81600,479414,647360,54,0,67,0
19-00:37:26,123.120.60.180,3,5740963,0,4224,0,137,34,106,247,73,585,400,722,20,211,343,81600,694464,1048576,0,0,0,0
19-00:37:26,123.120.60.180,3,5740955,0,4223,0,137,33,115,254,85,585,404,722,20,212,319,44480,658636,1048576,0,0,0,0
19-00:39:55,114.245.106.187,3,5126438,0,3772,0,28,28,80,215,40,387,308,602,20,303,736,1408,483648,1048576,0,0,0,0
19-00:43:23,114.246.185.184,3,5728499,0,4215,0,43,24,30,60,16,86,230,260,20,276,287,9728,77480,440832,0,0,0,0
19-00:47:29,123.123.206.5,3,5465205,2696768,3799,1874,31,31,32,39,5,62,232,239,6,11,34,66048,261219,262144,28,0,46,0
19-00:48:3,114.253.5.233,3,5315220,11204,3664,8,22,22,29,39,6,44,229,239,20,49,68,0,63770,65340,0,0,2,0
19-00:48:7,114.244.242.25,3,5683833,959304,4105,667,19,18,50,173,20,158,249,373,20,237,682,0,353656,1050112,0,0,3,0
19-00:53:30,123.120.60.180,3,5740955,70720,4223,52,65,38,176,612,88,311,399,812,5,189,341,81600,719426,1048576,1,0,1,1
19-00:54:26,125.34.146.159,3,5728499,15160,4092,11,21,18,27,36,40,85,227,236,20,132,183,12320,65979,292000,0,0,0,0
19-00:54:27,111.193.90.0,3,5728499,159120,4215,117,44,44,238,602,100,832,760,1512,20,310,533,61248,497794,835072,0,0,1,0
19-00:57:1,111.199.246.15,3,5728499,2720,4214,2,17,17,55,113,14,186,254,313,20,217,246,81664,248430,263936,0,0,0,0
19-01:00:57,114.246.253.203,3,5295242,213444,3650,147,20,19,82,378,14,403,321,781,20,373,770,14720,664349,1047168,0,0,1,0
19-01:02:26,202.96.30.237,3,5728499,1334160,4214,981,28,28,32,132,7,75,231,332,16,36,252,81600,587171,624256,12,0,14,0
19-01:04:54,114.246.90.25,6,5327710,2657384,3775,1882,29,26,32,56,7,108,232,256,6,11,32,23296,255680,262144,31,0,40,0
19-01:07:16,123.114.186.53,3,5134751,1728,3778,3,36,30,75,184,57,203,281,456,2,168,370,576,835335,1572864,1,0,0,0
19-01:07:19,111.196.233.81,26,5701811,691128,4195,509,55,54,112,349,29,618,330,967,17,34,142,61248,500873,522944,5,0,6,0
