time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-22:12:57,61.50.97.90,3,10163958,1180480,7477,868,118,60,1718,22051,1057,16689,6443,120000,5,68,153,81600,810946,1048576,9,2,13,1
19-22:16:18,111.197.100.91,3,10493926,659600,7717,485,15,15,102,458,26,261,308,751,20,141,355,8640,855612,1048576,0,0,4,0
19-22:17:12,123.117.146.103,3,10491218,0,7226,0,17,16,38,60,13,43,237,260,20,327,406,14848,437350,523008,0,0,0,0
19-22:17:53,123.114.72.33,3,10493926,514080,7717,378,20,20,42,164,24,153,242,364,19,100,301,81600,956161,1048576,0,0,6,0
19-22:20:56,123.117.205.101,4,10474306,266560,7706,196,13,13,47,160,29,268,252,428,14,99,163,81600,984939,1048576,1,0,3,0
19-22:20:56,123.117.205.101,3,10474298,382160,7704,281,17,15,38,143,26,280,244,423,20,64,113,81600,1007364,1048576,1,0,7,0
19-22:22:28,123.114.109.137,17,10493926,456960,7719,336,109,29,84,311,54,234,293,527,5,84,243,81600,589416,628352,3,0,5,1
19-22:22:45,125.33.28.236,14,10344235,816000,7608,600,17,17,75,357,82,809,307,1021,6,26,161,61248,642974,837760,28,1,29,0
19-22:20:25,111.196.173.122,3,10416315,718080,7661,528,0,39,317,2395,184,5273,1031,120000,5,57,89,61248,941222,1048576,4,2,8,1
19-22:24:7,114.254.213.174,3,10427515,32896,7670,25,14,14,40,85,12,99,240,285,20,177,196,256,188706,198656,0,0,1,0
19-22:24:16,114.246.132.243,3,10493926,476000,7717,350,13,13,114,241,34,116,314,441,13,356,776,81600,571877,1048576,0,0,3,0
19-22:24:12,123.123.52.219,3,10091467,6400246,7010,4447,14,12,13,15,4,28,212,215,6,10,32,31744,259990,262144,54,0,95,0
19-22:25:34,114.245.133.221,3,10461183,167280,7695,123,15,15,57,99,12,84,257,299,20,133,244,81664,256478,263936,0,0,4,0
19-22:25:34,114.245.133.221,3,10461190,54400,7696,40,15,14,53,97,12,90,252,297,20,116,241,81664,255957,262400,0,0,4,0
19-22:25:35,125.33.134.3,3,10493934,89760,7719,66,25,25,52,96,12,82,251,296,20,106,198,81600,772529,1048576,0,0,2,0
19-22:27:4,111.197.107.146,3,10493934,32688,7719,25,13,13,40,172,38,414,251,586,12,75,265,81600,510841,786112,1,0,4,0
19-22:27:16,123.112.143.211,3,10493926,244768,7720,181,17,17,87,354,55,402,326,856,20,116,233,896,924963,1048576,0,0,2,0
19-22:27:52,123.120.161.215,3,10493926,40864,7718,31,35,15,40,207,31,293,246,500,20,71,273,81600,712442,1048576,1,0,4,0
19-22:28:11,114.252.162.189,127,10935547,1000544,8045,736,29,28,455,3027,233,3752,1278,5885,5,94,286,81600,915055,1048576,5,0,9,1
19-22:28:11,114.252.162.189,6,10935539,530400,8043,390,50,50,358,3116,237,3893,1081,6837,20,65,173,81600,616577,758912,7,0,12,0
19-22:29:56,114.250.225.239,3,10493926,473352,7229,326,25,18,28,173,18,269,233,442,18,53,157,4608,464475,526144,6,0,18,0
19-22:30:15,123.117.186.118,3,10493934,137360,7719,101,18,18,30,87,17,72,229,287,20,88,284,81600,809019,878592,0,0,3,0
19-22:29:24,123.122.253.157,7,10493926,805120,7719,592,32,20,289,8260,289,6557,1230,14374,6,37,205,81600,1013140,1048576,16,2,18,0
19-22:30:53,114.249.57.32,3,10493926,29920,7718,22,20,14,35,131,20,157,235,331,20,59,205,81664,259867,263936,0,0,4,0
19-22:31:11,123.122.86.3,3,10493934,1092524,7719,804,48,23,99,364,123,776,423,1111,5,34,225,81600,615494,631040,7,3,33,1
19-22:31:46,111.199.106.121,3,10493934,104720,7719,77,17,16,108,228,21,74,308,428,20,254,385,81600,747258,908480,0,0,3,0
19-22:31:29,125.34.3.183,3,10493926,619499,7719,458,22,22,166,1214,114,1779,583,3184,5,69,264,81600,924117,1048576,3,0,6,1
19-22:32:21,114.249.245.66,3,10493934,210192,7724,186,22,22,95,647,84,402,349,1787,2,69,148,0,485032,1048576,3,0,3,1
19-22:32:44,61.48.167.112,3,10493934,119208,7719,89,13,13,128,489,111,802,473,1415,6,82,116,81600,508516,522944,1,1,5,0
19-22:34:56,111.194.112.91,3,10493926,198560,7719,146,46,44,155,319,40,331,367,553,20,124,243,45312,252381,263936,0,0,7,0
19-22:35:6,123.122.0.62,3,10493926,607920,7719,447,16,16,68,2652,21,2544,510,5196,20,219,436,81600,580217,712640,0,0,6,0
19-22:36:23,123.122.243.6,3,10491218,254320,7715,187,18,18,62,184,14,231,266,415,20,272,433,13632,697098,932992,0,0,3,0
19-22:37:40,114.249.73.106,3,10493934,650080,7719,478,16,16,127,484,38,302,346,742,20,376,716,81600,654477,1048576,0,0,4,0
19-22:34:18,114.252.74.165,127,10884173,3108996,8005,2288,31,31,652,8669,499,6594,2000,14038,5,27,330,13632,774467,796992,47,0,56,2
19-22:38:29,123.120.73.253,3,10493926,412080,7717,303,15,15,63,246,45,268,269,446,20,89,274,2176,768896,1048576,0,0,7,0
19-22:40:0,123.123.40.252,3,10491218,164560,7716,121,14,13,49,140,27,194,249,340,20,227,354,81600,276916,522944,0,0,4,0
19-22:41:17,61.148.242.195,3,10493926,28560,7719,21,56,33,112,928,32,857,365,1802,20,95,334,2048,1818617,2290432,3,0,9,0
19-22:40:44,123.117.41.153,3,10493926,15449046,7718,11360,15,13,16,30,5,72,215,322,6,7,164,81600,513652,522944,7,0,21,0
19-22:41:32,114.250.226.252,44,10493926,734400,7719,540,24,24,196,3419,98,4168,587,8165,20,49,164,81600,907380,1048576,7,0,10,0
19-22:42:24,111.200.254.59,3,10493934,334560,7719,246,18,18,54,94,23,122,253,294,20,37,102,81600,596359,813312,6,0,17,0
19-22:43:59,125.33.242.194,3,10493934,8160,7719,6,13,13,198,500,102,625,603,1170,20,369,474,81600,497328,578048,0,0,0,0
19-22:43:54,111.192.252.134,3,10493934,93840,7719,69,21,21,70,176,84,469,275,589,8,64,97,3968,279079,522944,0,0,4,0
19-22:46:15,114.246.74.255,3,10493926,510000,7717,375,19,18,50,150,26,121,249,350,20,57,235,81600,504443,522944,1,0,14,0
19-22:46:15,114.245.111.201,3,10493926,100528,7717,74,14,14,89,549,70,676,338,1181,5,51,80,81600,511122,522944,1,0,7,1
19-22:46:23,123.115.5.19,3,10461190,4776320,7695,3512,12,12,13,91,4,48,213,291,6,16,433,81600,506257,522944,55,0,71,0
19-22:46:23,123.115.5.19,3,10461183,5025200,7694,3695,12,12,13,89,4,33,213,289,6,16,434,81600,507926,522944,49,0,60,0
19-22:46:35,111.194.210.194,3,10493926,2001131,7718,1475,27,27,50,207,26,434,270,641,6,14,38,81664,260873,263936,111,0,131,0
19-22:47:15,124.64.210.119,39,10555279,293760,7763,216,16,16,49,96,25,103,248,296,20,154,263,81600,857726,1048576,3,0,4,0
19-22:47:15,124.64.210.119,3,10555287,137360,7764,101,15,15,42,92,26,104,241,292,16,101,221,81600,864170,1048576,0,0,4,0
19-22:45:43,114.240.254.96,52,10493926,1320560,7718,971,0,100,725,5287,633,9941,2581,18555,5,37,243,81664,261052,263936,27,2,29,1
19-22:45:43,114.240.254.96,75,10493934,973440,7719,717,127,70,620,6275,461,7666,2031,14473,5,29,104,81664,261361,263936,23,0,31,3
19-22:49:53,111.203.111.1,8,10491218,3580880,7717,2633,14,14,23,65,18,246,227,311,4,11,30,81600,508886,587520,99,0,102,3
19-22:51:6,111.201.101.254,117,10461183,471920,7693,347,11,11,64,294,36,162,263,494,20,338,677,81600,664583,1048576,0,0,1,0
19-22:51:6,111.201.101.254,3,10461190,410720,7696,302,11,11,82,262,35,205,284,470,20,434,775,81600,660913,1048576,0,0,2,0
19-22:54:7,114.243.110.191,3,10852438,140080,8065,103,85,18,59,123,31,343,283,428,20,236,438,81600,717545,1048576,0,0,4,0
19-22:55:51,125.33.14.233,3,10491218,68000,7716,50,154,77,197,494,72,590,489,744,20,252,425,81600,745962,1048576,0,0,2,0
19-22:56:32,111.196.119.62,3,10483864,0,7711,0,73,73,372,597,31,222,577,819,20,347,434,81600,451486,522944,0,0,0,0
19-22:59:12,111.196.88.152,3,10493934,1051280,7719,773,22,16,30,214,26,302,241,529,9,59,196,81600,712158,1048576,2,0,17,0
19-22:59:54,61.149.213.231,3,10474306,856864,7705,631,16,16,58,269,45,340,278,607,20,87,322,13632,923909,1048576,1,0,13,0
19-22:59:54,61.149.213.231,3,10474298,640560,7702,471,17,17,52,255,34,318,262,505,20,69,268,13632,861582,935680,0,0,11,0
19-23:00:39,111.196.36.53,3,10491218,1831,7289,2,13,13,18,44,10,63,217,244,20,379,394,1472,119636,522880,0,0,0,0
19-23:03:44,114.248.84.111,3,10804283,663680,7946,488,12,12,118,298,32,187,318,498,20,97,343,81600,729683,807872,0,0,10,0
19-23:03:24,123.121.114.178,3,10493934,946560,7719,696,14,14,660,1967,247,2362,1757,4329,6,185,433,81600,540949,704512,1,0,4,0
19-23:04:9,61.50.131.114,8,10493934,4090880,7720,3008,13,13,19,117,14,126,219,317,6,19,145,0,606721,1048576,54,0,73,0
19-23:04:39,123.116.23.62,8,10493934,6257804,7719,4602,23,17,25,124,19,318,228,414,6,12,282,81600,510005,522944,92,0,125,0
19-23:05:31,123.120.105.157,3,10491218,333200,7716,245,13,13,66,166,32,142,265,366,20,261,416,81600,612342,998272,0,0,3,0
19-23:06:47,111.197.223.138,3,10493926,4080,7718,3,17,17,162,267,21,114,361,467,20,357,434,81600,464517,522944,0,0,1,0
