time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
21-12:14:5,61.149.215.134,3,235496,3330260,162,2281,5,5,5,6,11,19,7097,120000,5,9,30,65099,65462,65535,27,0,15,12
21-12:14:8,61.149.215.134,3,201093,2977689,140,2041,6,6,8,11,27,49,4970,120000,4,12,30,65110,65450,65535,23,0,7,16
21-12:14:11,61.149.215.134,3,248626,3889440,171,2664,4,4,5,8,11,38,2439,120000,5,10,30,65109,65464,65535,31,0,15,16
21-12:14:4,61.149.215.134,3,235487,3506920,162,2402,8,5,6,8,10,16,4079,120000,5,11,30,65108,65463,65535,32,0,8,24
21-12:14:0,61.149.215.134,3,236417,3598900,164,2465,7,6,8,11,26,46,16207,120000,5,14,33,64075,65464,65535,30,0,15,15
21-12:14:14,61.149.215.134,3,205758,3179880,143,2178,5,5,7,19,24,102,1611,59658,5,13,32,65109,65449,65535,31,0,15,16
21-12:12:39,124.65.176.34,3,207975,4803640,153,3536,10,10,10,10,20,20,85940,120000,5,10,30,107232,128888,131072,2,0,2,3
21-12:13:24,61.149.215.134,3,226728,3765444,157,2580,4,4,4,5,6,11,48240,120000,3,11,30,65535,65535,65535,37,0,23,15
21-12:13:53,61.149.215.134,3,226760,3554076,159,2435,5,5,6,9,13,25,25223,120000,4,9,30,65099,65447,65535,35,1,22,13
21-12:15:12,61.149.215.134,3,209211,2759831,144,1891,6,5,6,7,7,15,50151,120000,5,9,30,65104,65463,65535,25,0,19,6
21-12:17:15,123.123.47.61,3,205692,3275,150,4,6,6,15,28,17,62,215,228,20,29,48,38324,63358,66240,0,0,0,0
21-12:14:8,61.149.215.134,3,211068,3382368,146,2318,5,5,5,5,7,11,48174,120000,2,18,33,65031,65434,65535,33,0,24,9
21-12:14:44,124.65.176.34,86,236012,5080348,172,3717,16,16,16,16,32,32,38817,120000,5,9,30,112752,129433,131072,1,0,1,2
21-12:15:45,61.149.215.134,3,227374,3469284,158,2377,5,5,5,9,8,37,1075,26515,5,10,30,65109,65449,65535,32,0,13,19
21-12:15:51,61.149.215.134,3,201172,2882040,140,1974,4,4,5,7,8,17,2117,120000,5,14,30,65031,65409,65535,21,0,11,10
21-12:16:5,61.149.215.134,3,239878,3095200,165,2120,4,4,5,6,8,17,1684,120000,5,11,30,65097,65462,65535,30,0,17,13
