time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-03:30:30,114.252.128.101,3,2482456,91120,1828,67,0,41,153,387,67,392,403,715,11,25,66,81600,489881,522944,4,0,10,0
19-03:38:27,123.118.43.100,3,2195382,0,1616,0,25,25,67,120,27,225,281,410,20,189,367,81600,392133,522944,0,0,0,0
19-03:45:12,114.247.10.120,3,2045791,543400,1575,418,91,91,210,416,81,282,427,120000,20,60,63,27400,53381,55104,1,0,0,0
19-03:48:58,61.51.92.107,3,2473272,0,1822,0,23,23,115,276,115,271,344,509,20,168,324,0,414758,1048576,0,0,0,0
19-03:51:13,123.120.145.93,31,2346120,210737,1664,152,0,408,651,727,95,999,1023,1999,6,21,30,87616,460358,525312,11,0,12,0
19-03:51:13,123.120.145.93,61,2346120,497724,1664,356,0,229,605,704,97,985,936,1967,5,21,62,87616,570107,691904,17,0,17,2
19-04:04:12,123.114.238.143,3,2440777,2720,1796,2,27,27,124,367,39,345,356,720,20,225,433,81600,497512,1044480,0,0,1,0
19-04:20:35,123.118.48.178,3,2086796,52236,1535,39,67,67,324,2567,339,3381,1083,11512,7,34,91,13696,824218,1047296,3,2,0,0
19-04:22:1,114.240.90.49,3,2264827,151040,1575,105,39,29,32,47,13,62,232,247,9,17,55,226048,468198,16776960,23,0,26,0
19-04:31:58,114.253.110.79,3,2048030,323283,1507,238,22,22,1623,5519,930,5039,4544,120000,2,74,143,81664,236905,263936,1,0,4,0
19-04:36:55,114.245.232.180,3,2425515,234424,1785,178,28,28,460,2416,455,2464,1465,4880,5,32,135,81664,455988,525824,9,0,7,4
19-04:38:17,114.254.212.176,3,2473272,109955,1821,81,34,34,211,823,51,690,577,1587,20,182,315,81600,400597,522944,1,0,2,0
19-04:38:17,114.254.212.176,3,2473265,155590,1822,115,33,33,202,811,52,450,575,1780,20,196,330,81600,426328,557632,0,0,2,0
19-05:02:41,114.254.211.80,3,2252371,44880,1658,33,36,36,239,985,257,1290,847,120000,2,230,433,81600,364878,522944,1,0,1,0
19-05:23:58,124.64.26.196,3,2036682,416160,1501,306,30,30,61,117,23,60,260,317,20,223,434,48384,318361,525824,0,0,2,0
19-05:23:58,124.64.26.196,3,2036676,395760,1500,291,31,31,59,124,30,73,259,324,20,191,393,35584,308263,525824,0,0,2,0
19-05:29:35,123.116.169.169,3,2473265,0,1752,0,21,20,85,198,49,164,285,398,20,343,582,2112,340263,785024,0,0,0,0
19-05:29:35,123.116.169.169,3,2473272,0,1754,0,23,23,90,199,33,189,289,399,20,216,547,0,434526,1019520,0,0,0,0
19-05:37:33,123.118.43.6,3,2252371,1360,1658,1,33,26,32,76,19,79,231,276,20,76,88,81600,585744,1044480,0,0,1,0
19-05:42:2,114.246.76.84,3,2426742,106080,1785,78,74,21,53,186,51,256,284,440,19,142,242,13632,351168,522944,0,0,1,0
19-05:42:7,123.116.94.130,3,2228104,0,1641,0,25,25,50,105,23,54,250,305,20,233,449,81600,358528,549440,0,0,0,0
19-05:42:7,123.116.94.130,3,2228097,13600,1640,10,20,20,47,109,19,51,247,309,20,221,441,81600,340332,533120,0,0,1,0
19-05:48:48,123.116.150.167,3,2482456,107440,1828,79,56,50,111,186,52,112,310,386,20,120,194,81664,182229,197120,0,0,3,0
19-05:48:48,123.116.150.167,3,2437026,123760,1795,91,86,48,110,187,48,172,309,387,20,96,161,81664,184356,197120,0,0,3,0
19-05:51:46,111.201.59.119,3,2445787,53040,1801,39,133,57,110,225,47,266,331,454,20,72,116,81600,641962,813312,0,0,2,0
19-05:51:46,111.201.59.119,3,2482456,47600,1828,35,29,29,111,226,39,207,318,450,20,70,112,81600,446990,522944,0,0,4,0
19-05:57:43,123.117.147.197,3,2144720,84320,1577,62,0,28,63,200,19,150,263,400,20,172,433,13632,276458,690880,0,0,1,0
19-05:57:56,125.33.113.123,3,2252377,163200,1658,120,15,15,123,300,68,382,416,808,20,111,208,13632,405635,522944,0,0,4,0
19-05:57:56,125.33.113.123,3,2252371,34422,1657,27,23,23,89,271,64,362,337,674,20,50,89,13632,461473,522944,1,0,4,0
19-06:00:19,123.118.38.41,3,2252377,116960,1659,86,25,25,80,226,38,180,287,447,20,122,207,81600,428846,522944,0,0,2,0
19-06:06:26,123.119.60.114,3,2252371,0,1658,0,31,31,90,186,65,134,289,386,20,224,600,81600,437617,1048576,0,0,0,0
19-06:06:56,123.122.154.251,3,2397915,0,1766,0,20,20,80,237,58,307,358,651,20,184,700,81600,405084,884032,0,0,0,0
19-06:06:57,61.49.175.226,3,2252371,2720,1658,2,32,32,82,146,51,198,283,348,20,224,481,13632,359941,1048576,0,0,0,0
19-06:11:28,114.248.96.142,3,2484922,34064,1829,26,57,29,79,498,62,690,347,1214,17,40,117,81600,652123,1048576,1,0,3,0
19-06:19:54,111.203.246.9,3,2372276,202640,1748,149,17,17,107,625,65,518,388,1139,6,55,78,81600,617523,840512,0,0,4,0
19-06:21:1,114.240.217.29,3,2346120,47720,1632,34,37,26,34,78,16,102,233,278,20,31,45,87616,482404,522880,1,0,4,0
19-06:21:20,61.51.180.255,3,2252371,227120,1658,167,24,24,54,123,33,106,253,323,20,123,184,38528,505360,1048576,0,0,2,0
19-06:21:20,61.51.180.255,3,2252377,365840,1659,269,21,21,59,120,29,86,258,320,20,155,345,63552,451977,1048576,0,0,2,0
19-06:19:23,61.49.174.39,3,2163320,203117,1593,150,20,20,87,228,33,74,286,120000,2,175,631,81600,440824,1048576,1,0,1,0
19-06:23:33,123.119.184.201,3,2036682,284240,1501,209,27,27,117,324,77,178,408,859,5,75,271,3584,327819,1048576,1,0,2,1
19-06:23:33,123.119.184.201,3,2036676,152320,1499,112,26,26,59,326,31,519,315,845,20,82,153,2432,451632,1048576,0,0,2,0
19-06:26:27,114.252.64.146,3,2440777,149760,1696,104,33,33,153,371,108,296,426,725,20,202,412,81600,377442,662336,0,0,2,0
19-06:26:27,114.252.64.146,3,2440784,182880,1697,127,33,33,133,373,110,371,438,817,20,197,397,81600,452115,1048576,1,0,2,0
19-06:32:36,124.64.70.207,3,2252371,0,1658,0,20,19,66,112,18,53,265,312,20,183,243,81664,225173,263936,0,0,0,0
19-06:32:36,124.64.70.207,3,2252377,0,1659,0,23,23,71,123,20,66,271,323,20,176,241,81664,223978,262400,0,0,0,0
19-06:34:25,114.250.141.32,3,2289115,360400,1686,265,32,32,195,743,46,777,656,1772,6,170,433,81600,384203,810560,0,0,2,0
19-06:41:6,111.197.130.65,3,2310509,0,1701,0,21,21,86,305,40,248,292,553,20,225,455,81600,348440,688192,0,0,0,0
19-06:42:12,58.118.26.91,3,2248909,727459,1543,502,0,29,35,49,33,112,234,249,6,17,30,52340,64137,64240,0,0,27,0
19-06:43:42,123.117.160.78,3,2447310,269280,1802,198,0,74,1017,5094,401,4309,3515,9403,20,172,433,81600,457332,1048576,1,0,3,0
19-06:46:45,114.245.32.82,3,2252371,156400,1657,115,23,23,54,90,26,84,253,290,20,107,210,13632,469084,837760,0,0,2,0
19-06:49:46,123.124.85.169,3,2496179,70600,1768,50,34,34,73,471,118,1469,436,1940,6,27,30,14656,28480,28736,2,2,1,0
19-07:01:33,61.51.156.94,3,2473265,0,1820,0,23,23,86,198,32,77,285,398,20,240,492,81600,389141,601152,0,0,0,0
19-07:01:33,61.51.156.94,3,2473272,0,1821,0,25,25,85,201,32,74,285,401,20,240,435,81600,364636,522944,0,0,0,0
19-07:07:27,123.116.181.173,3,2343428,38880,1631,27,28,28,29,33,8,56,229,233,20,38,70,66240,158367,236160,0,0,2,0
19-07:22:47,114.249.92.199,3,2228097,121040,1641,89,35,35,109,297,35,306,346,609,20,194,335,81600,405585,769792,0,0,2,0
19-07:22:47,114.249.92.199,3,2228104,55760,1640,41,30,30,93,309,32,312,324,621,20,172,374,81600,417216,1020032,0,0,2,0
19-07:27:45,123.122.201.224,3,2021455,0,1489,0,31,30,48,128,23,69,248,328,20,201,661,81600,436214,1048576,0,0,0,0
19-07:27:45,123.122.201.224,3,2021449,0,1488,0,30,30,53,122,26,73,253,322,20,223,589,81600,468136,1048576,0,0,0,0
19-07:28:42,123.116.161.78,3,2240927,39440,1649,29,18,18,1493,4752,1100,7056,3902,11808,20,43,73,81600,471676,522944,1,0,4,0
19-07:29:56,114.240.236.217,3,2346126,72000,1633,50,129,129,176,225,64,258,405,448,20,149,276,87616,352825,525760,0,0,2,0
19-07:33:4,111.201.122.160,3,2473272,2720,1822,2,38,38,63,134,33,124,263,334,20,120,241,81664,236629,262400,0,0,1,0
19-07:32:12,114.247.10.167,3,2311100,526350,1910,435,99,99,281,488,88,295,512,120000,20,103,121,12160,82530,96832,1,0,0,0
