time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:00:30,111.199.18.175,14,5279346,519520,3883,382,13,13,157,886,48,606,480,1541,20,183,428,13632,462296,712640,3,0,7,0
19-00:00:53,111.205.230.154,3,5160401,327808,3797,243,33,13,33,77,10,94,233,277,6,17,55,81600,493559,522944,53,0,64,0
19-00:00:53,111.205.230.154,3,5160393,295120,3796,217,33,13,32,70,10,94,231,270,6,15,34,81600,499238,522944,57,0,63,0
19-00:02:24,111.192.186.174,3,5031909,0,3703,0,156,17,108,233,71,666,432,822,20,208,243,81664,244330,263936,0,0,0,0
19-00:02:29,114.253.219.15,127,5327094,534480,3918,393,16,16,364,1878,90,1617,871,3567,5,128,288,81600,656464,878592,3,0,4,1
19-00:02:29,114.253.219.15,3,5327102,295478,3919,218,32,32,302,1675,136,1883,884,3704,5,63,209,81600,490724,522944,2,0,5,2
19-00:03:28,114.243.53.75,3,5499821,881280,4046,648,11,10,101,331,63,327,322,643,20,185,433,4096,585556,1048576,1,0,3,0
19-00:04:34,114.244.207.57,3,5259722,216240,3872,159,7,7,66,181,34,135,266,381,20,100,224,81600,875401,1048576,0,0,4,0
19-00:04:34,114.244.207.57,3,5259715,178160,3869,131,10,10,64,176,35,115,264,376,20,89,192,81600,818566,998272,0,0,3,0
19-00:05:24,123.113.103.92,3,5181483,223040,3813,164,15,15,46,92,16,144,246,292,20,235,433,81600,631703,971072,0,0,3,0
19-00:05:23,114.250.218.81,3,5645077,453600,3921,315,8,7,36,108,10,136,236,308,20,217,518,14720,744213,1047168,0,0,2,0
19-00:05:40,61.51.205.80,3,5327094,217600,3919,160,20,20,201,421,39,274,415,634,20,271,434,81600,546304,1048576,0,0,2,0
19-00:05:40,61.51.205.80,4,5327102,277440,3920,204,22,16,188,413,34,263,403,628,20,243,434,81600,487570,748032,1,0,3,0
19-00:08:57,125.34.120.92,3,5024298,2720,3695,2,7,7,113,349,15,454,361,803,20,282,433,13632,379836,522944,0,0,0,0
19-00:10:52,114.248.4.232,3,5031901,0,3702,0,73,12,74,144,34,294,299,367,20,213,244,81664,243712,263936,0,0,0,0
19-00:12:0,114.244.176.135,3,5297277,59840,3896,44,33,12,46,145,29,224,260,421,20,216,342,81600,785355,1048576,0,0,1,0
19-00:12:25,123.112.157.116,3,5031909,12240,3703,9,51,19,101,1727,102,2278,556,4005,20,98,109,81600,526520,867712,0,0,1,0
19-00:12:25,123.112.157.116,3,5031901,27200,3702,20,51,22,108,1715,99,2077,563,3792,20,108,119,81600,629656,938432,0,0,1,0
19-00:12:34,114.253.115.60,12,5031901,794240,3701,584,29,9,41,90,21,80,241,762,5,109,229,81600,622588,1048576,3,0,4,1
19-00:12:48,123.123.130.210,127,5327102,157760,3920,116,119,39,115,274,103,477,410,596,20,346,583,81600,514981,1048576,2,0,2,0
19-00:12:47,123.123.130.210,127,5327094,291040,3918,214,119,13,120,269,99,477,400,596,20,381,729,16256,518177,1048576,2,0,2,0
19-00:13:12,123.121.112.145,3,5271143,9520,3877,7,6,6,263,780,54,600,604,1342,2,264,433,81600,593721,1028160,1,0,2,0
19-00:13:12,123.121.112.145,3,5271151,102000,3878,75,7,7,246,774,111,1308,760,2046,20,199,433,81600,676558,1028160,1,1,3,0
19-00:11:29,114.253.115.60,28,5327094,172720,3918,127,29,24,75,1678,93,5060,539,120000,2,44,67,81600,570542,622912,3,0,2,0
