time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:01:31,114.248.237.202,3,515380,15532,365,11,14,7,14,80,25,198,214,280,9,15,30,14656,146969,276608,7,0,8,0
19-00:29:59,61.49.57.55,3,531071,0,364,0,11,11,11,12,9,22,211,212,20,56,159,14720,57051,169472,0,0,0,0
19-00:29:58,114.254.117.255,3,525531,2824,373,2,8,8,237,1261,84,1352,631,2672,20,48,187,14720,96588,489088,0,0,0,0
19-00:39:39,114.242.249.94,3,537627,0,397,0,5,5,5,6,7,10,205,206,20,108,164,3072,71773,180992,0,0,0,0
19-00:52:23,123.120.63.116,3,518721,1092401,366,770,137,15,300,1086,783,3119,1947,4205,5,13,30,16128,111735,281088,2,0,1,1
19-01:24:8,111.192.60.41,3,507352,0,358,0,31,31,40,49,23,62,240,249,20,57,72,63254,64468,64620,0,0,0,0
19-01:46:38,114.249.99.41,3,529611,23040,370,16,8,7,12,48,11,25,212,248,20,61,155,87616,181216,381824,0,0,1,0
19-01:46:38,114.249.99.41,3,528083,51840,370,36,8,8,15,64,11,32,215,264,20,62,150,87616,180496,381376,1,0,1,0
19-02:18:18,114.246.97.10,3,535563,0,375,0,7,6,21,47,10,78,221,247,20,86,199,213184,258112,262144,0,0,0,0
19-02:23:36,123.121.240.137,3,536414,1412,382,1,35,35,63,87,53,86,263,287,20,75,156,29248,146982,323776,0,0,0,0
19-02:26:55,114.252.88.178,3,533319,87840,373,61,25,25,71,296,52,108,271,496,20,60,217,254720,262144,262144,0,0,1,0
19-03:04:5,114.248.237.202,3,537972,31064,381,22,8,7,17,42,40,145,217,242,6,18,62,14656,146891,259456,5,0,8,0
19-03:08:52,111.202.103.183,3,527478,0,362,0,4,3,3,4,4,8,203,204,20,72,148,14720,74695,181120,0,0,0,0
19-03:09:24,114.246.56.30,3,533319,0,373,0,4,4,5,11,8,14,205,211,20,54,150,203264,262144,262144,0,0,0,0
19-03:11:23,182.18.2.100,3,533963,0,367,0,6,6,9,17,13,24,209,217,20,55,130,189144,262144,262144,0,0,0,0
19-03:21:58,111.193.233.107,7,531383,0,369,0,5,5,6,12,8,11,206,212,20,55,190,262140,262140,262140,8,0,0,0
19-03:22:25,111.193.233.107,9,527058,0,367,0,4,4,7,12,7,12,206,212,20,58,188,260692,261778,262140,9,0,0,0
19-04:03:21,123.112.47.11,3,522915,0,363,0,7,7,20,81,18,59,220,281,20,56,184,87616,175472,522880,0,0,0,0
19-04:06:3,123.112.47.11,3,525795,0,365,0,6,6,20,82,8,66,220,282,20,52,187,87616,164592,522880,0,0,0,0
19-04:13:59,111.202.103.183,3,527489,0,362,0,6,3,5,6,9,24,204,206,20,64,137,14720,66048,166528,0,0,0,0
19-05:15:58,202.60.127.49,3,506908,153680,375,113,41,41,121,368,125,300,326,668,20,61,141,81600,169456,430848,1,0,1,0
19-05:34:35,123.115.165.26,3,530539,361835,392,267,30,30,575,1259,620,1601,2383,120000,6,26,36,61248,367906,522944,3,0,1,0
19-06:18:3,123.114.235.31,3,543399,12960,380,9,32,31,100,292,34,289,317,581,20,81,170,11008,147750,381376,0,0,1,0
19-06:18:3,123.114.235.31,3,545579,1440,380,1,28,19,115,299,51,311,349,617,20,83,170,1216,125202,380416,0,0,1,0
19-06:52:10,111.198.246.197,3,533776,0,395,0,114,15,62,114,180,422,451,536,20,70,135,61248,209459,522944,0,0,0,0
19-07:09:0,125.35.90.114,3,528676,1122344,391,833,0,655,1729,20792,80,40282,5211,120000,5,58,89,61248,271168,522944,4,0,3,1
19-07:12:48,114.246.97.10,3,533515,0,373,0,7,6,18,40,14,58,218,240,20,85,203,0,187254,262144,0,0,0,0
19-07:24:8,111.202.103.183,3,527490,14600,362,10,4,3,4,4,3,8,203,204,20,56,94,7296,50845,110976,0,0,0,0
19-07:25:17,58.119.4.130,3,524711,0,387,0,4,4,43,85,24,99,243,285,20,60,72,65280,65336,65535,0,0,0,0
19-07:33:55,111.197.101.185,3,537471,1785,388,2,9,9,35,90,17,105,235,290,20,65,92,14656,481156,785024,0,0,0,0
19-07:35:45,124.64.24.248,3,536363,0,374,0,29,24,33,58,35,63,233,258,20,65,164,87616,184208,383168,0,0,0,0
19-07:40:15,111.203.253.226,3,537780,919408,397,677,0,145,297,744,741,4177,2218,120000,5,11,30,13696,111472,248704,9,1,8,3
19-08:18:41,125.34.248.89,3,543463,0,381,0,8,8,16,24,32,60,216,224,20,93,150,0,94592,380416,0,0,0,0
19-08:18:42,125.34.248.89,3,545003,0,381,0,8,8,17,25,38,68,216,225,20,99,159,0,96647,383168,0,0,0,0
19-08:28:30,111.207.91.66,3,545146,591600,402,435,13,13,300,986,230,1284,906,120000,12,26,52,13632,270020,522944,3,1,2,0
19-08:30:44,114.248.23.251,3,519605,660960,363,459,0,2718,3865,12473,4000,7843,9864,120000,5,38,196,87616,240304,506304,3,0,1,1
19-08:44:28,114.249.36.54,3,501231,238656,350,167,0,301,307,311,51,614,697,923,6,15,32,131072,131072,131072,4,0,5,0
19-08:45:20,114.249.36.54,3,535029,82600,374,60,0,289,304,330,70,578,716,888,20,24,38,131072,131072,131072,3,0,5,0
19-08:59:2,61.49.107.165,3,527135,0,364,0,28,17,32,53,38,81,232,253,20,64,136,14656,129824,316224,0,0,0,0
19-09:03:52,123.121.101.48,3,516611,0,359,0,27,27,86,354,61,206,285,560,20,61,186,87808,182336,535296,0,0,0,0
19-09:05:52,114.245.118.238,47,502819,311820,372,234,0,1318,1597,1752,384,895,3473,4369,5,22,47,61248,208170,383296,3,0,2,2
19-09:13:38,61.50.181.27,3,523206,461360,359,316,6,6,6,9,10,50,206,209,6,11,32,64768,65536,65536,0,0,1,0
19-09:26:16,124.65.187.194,3,504635,174080,373,128,5,5,286,712,366,1481,1257,2342,11,35,68,61248,306444,522944,1,0,2,0
19-09:29:26,111.193.186.130,3,524718,0,387,0,5,5,10,28,8,21,210,228,20,67,203,13696,111027,462464,0,0,0,0
19-09:32:27,124.65.145.250,3,513503,1986599,374,1440,5,5,1185,4486,968,5990,4470,13119,5,16,47,14656,465888,785024,5,1,2,2
19-09:33:50,123.112.178.158,12,549437,1279121,381,883,13,12,16,60,20,202,217,262,6,8,30,66252,66768,66792,1,0,2,0
19-09:38:44,114.251.225.3,3,523234,572560,387,421,106,15,57,106,93,214,270,120000,2,53,128,81664,169625,262400,1,0,1,0
19-09:40:29,61.148.203.78,3,514668,0,355,0,14,9,14,16,23,44,213,216,20,80,162,87616,173811,403136,0,0,0,0
19-09:38:28,124.64.212.236,3,520207,648810,371,451,0,522,819,1640,585,2736,2528,120000,5,32,42,87616,367227,522880,1,0,2,0
19-09:41:5,61.50.121.106,3,536894,42678,390,33,119,119,3340,6683,2823,8816,8286,12729,17,27,31,66240,94727,260820,2,1,2,0
19-09:41:5,61.50.121.106,3,536894,29304,390,24,34,34,3162,6546,2682,9356,8778,14471,9,25,34,66240,66240,66240,2,1,2,0
19-09:41:5,61.50.121.106,3,540090,27396,393,24,143,143,3530,6736,2442,9045,8716,13586,16,27,31,66240,112841,260820,3,1,3,0
19-09:41:5,61.50.121.106,3,541034,80364,393,60,19,19,3750,6846,1928,8821,9235,15631,7,27,37,65036,66209,66240,2,0,2,0
19-09:41:5,61.50.121.106,3,549269,116430,399,89,67,67,3856,6568,2297,9928,9617,15381,6,24,36,64948,66240,66240,1,0,1,0
19-09:43:42,111.204.198.2,3,505515,89700,368,65,0,1211,2220,3939,567,4938,6053,9025,20,36,72,66240,163146,240120,1,0,4,0
19-09:44:18,124.65.37.14,3,516729,56744,358,43,5,5,91,297,89,246,307,515,6,23,49,5840,55612,62780,1,0,1,0
19-09:42:45,111.203.152.123,9,546641,2149415,422,1674,8,8,260,412,491,1147,1166,26973,5,9,49,81600,318945,514816,23,1,7,15
19-09:47:20,111.201.146.38,3,539059,1440,376,1,8,8,34,292,44,209,234,511,20,50,166,14656,106048,542080,0,0,0,0
19-09:48:34,111.194.181.212,3,549620,30240,383,21,146,146,212,365,162,455,572,845,20,29,35,17280,172902,262080,1,0,4,0
19-09:49:28,111.201.113.45,3,543938,136761,388,97,123,123,348,701,206,627,827,1328,6,35,57,87616,296144,522880,0,0,2,0
19-09:50:5,114.243.83.4,3,520880,93840,383,69,15,15,80,298,52,108,279,498,20,63,182,13632,108262,397120,0,0,1,0
19-09:49:54,111.204.35.254,19,527781,1910324,382,1381,8,7,11,27,21,140,218,481,5,12,39,260864,262144,262144,9,0,5,6
