time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-02:35:35,202.106.16.36,3,210291,26280,145,18,9,9,11,12,18,28,211,212,13,29,30,0,11567,17520,1,0,0,0
19-03:45:49,61.50.107.238,3,222396,523,167,1,52,32,83,298,72,581,468,879,10,24,34,81600,278727,526080,1,1,0,0
19-05:06:29,202.106.16.36,3,206599,11680,142,8,18,18,23,26,32,41,223,226,20,29,30,0,11436,17520,0,0,0,0
19-06:51:19,114.250.228.239,3,207163,330480,154,243,33,33,777,1478,764,2438,18939,120000,6,21,34,81600,251419,473280,2,1,0,0
19-07:10:7,114.242.250.2,3,248331,0,178,0,20,19,20,22,31,40,220,222,20,36,106,129664,130133,131072,0,0,0,0
19-07:24:25,111.201.64.71,3,204740,1412,145,1,22,22,24,30,29,44,224,230,20,39,84,14720,52096,164352,0,0,0,0
19-07:24:28,111.201.64.71,3,208976,0,148,0,13,13,14,30,15,44,213,230,20,39,101,14720,52096,212352,0,0,0,0
19-08:15:18,61.148.243.40,3,224843,0,167,0,69,69,74,86,86,138,274,286,20,38,94,81664,109824,250368,0,0,0,0
19-08:24:9,111.201.255.205,3,234187,0,173,0,12,12,14,20,17,24,214,220,20,38,98,81664,109824,258560,0,0,0,0
19-08:56:52,111.194.171.130,3,247150,992480,184,734,24,24,28,2922,29,6916,328,120000,6,26,66,81664,146304,263936,4,0,3,0
19-11:01:14,114.249.121.162,15,211458,350836,158,263,0,1519,1875,2810,1876,5620,7494,21817,5,18,49,81600,121184,180608,2,0,2,0
19-11:15:2,114.249.236.93,3,224667,0,166,0,28,28,37,57,44,58,237,257,20,40,97,81600,110634,244800,0,0,0,0
19-11:36:53,111.196.187.70,3,238692,1887492,167,1312,21,21,21,21,42,42,3146,120000,5,21,93,65728,103168,278848,3,0,2,1
19-12:00:14,124.65.218.86,20,248527,418532,173,289,21,21,1241,2141,594,4368,3811,6218,6,14,40,65700,65700,65700,2,1,2,0
19-12:08:40,114.244.185.177,3,201337,205071,142,144,0,24,27,39,27,157,227,239,6,14,32,63857,64800,64800,0,0,3,0
19-12:14:6,118.26.73.98,3,229699,1779164,168,1291,0,83,135,304,359,1361,2135,7836,5,13,30,261376,262034,262144,28,0,14,14
19-12:16:7,118.26.73.98,3,234826,1804000,171,1309,0,73,167,283,365,566,3631,15625,5,16,30,66048,222771,262144,25,0,11,14
19-12:15:11,118.26.73.98,3,233446,1393124,170,1013,0,155,537,902,1067,1804,4987,35173,5,12,30,66048,212928,262144,16,0,4,12
19-12:17:3,118.26.73.98,3,200327,1801592,146,1307,60,56,61,70,81,120,3346,120000,5,14,36,66048,222771,262144,34,0,9,24
19-12:29:35,111.199.159.91,3,217448,0,154,0,14,13,14,21,15,28,214,221,20,38,87,14720,52096,181248,0,0,0,0
19-12:29:6,118.26.73.98,3,234782,2032508,171,1475,0,108,129,150,246,321,5964,83592,5,14,56,260864,262016,262144,31,0,9,19
19-12:46:46,61.149.27.78,3,202122,12240,152,9,28,28,674,1551,360,1138,1342,2689,20,33,49,81600,104192,131648,0,0,1,0
19-13:32:55,114.242.250.174,3,246034,0,181,0,19,18,19,21,29,38,219,221,20,36,114,129664,130133,131072,0,0,0,0
19-13:52:25,124.65.191.254,3,200688,120004,141,84,34,34,79,106,73,252,289,501,2,10,30,3840,4804,262144,1,0,11,1
19-13:54:17,111.192.46.38,3,202066,702476,143,494,0,58,60,63,25,126,438,879,5,6,30,64574,65076,65160,11,0,8,5
19-14:02:45,123.117.17.218,3,227024,556240,169,409,0,136,2394,31746,5310,18868,7704,120000,20,43,80,81664,109738,352256,2,1,0,0
19-14:29:6,114.253.56.139,3,246160,78880,181,58,35,35,41,158,41,135,241,358,20,38,91,13632,49648,168640,0,0,1,0
19-14:41:35,123.117.17.218,3,210939,1037819,157,765,0,30280,0,30822,0,61294,0,120000,6,45,63,81664,133376,239360,2,0,1,0
19-14:49:20,123.117.19.15,23,209883,82486,156,64,0,648,957,1265,1461,2530,3487,3795,15,24,31,81664,129984,204032,1,0,2,0
19-14:57:39,114.242.249.82,3,238308,671,178,1,11,11,11,13,14,22,211,213,20,60,127,26304,104176,131072,0,0,0,0
19-15:13:50,111.207.168.20,3,223380,1117880,155,774,18,18,948,1531,3755,9993,8879,120000,5,12,36,129320,129940,129940,9,0,4,6
19-16:00:22,123.119.71.140,12,222213,939117,164,696,118,118,118,118,236,236,2571,120000,5,10,34,13632,77536,267648,5,0,2,2
19-16:07:42,202.96.30.237,3,208837,587899,162,454,23,23,572,1551,313,2236,1633,120000,6,22,38,81664,183082,264704,3,2,1,0
19-18:35:31,123.120.37.13,3,206720,0,152,0,17,17,20,29,25,34,220,229,20,41,106,13632,49648,217600,0,0,0,0
19-18:50:32,123.124.23.233,3,246928,700832,171,484,36,23,30,37,42,72,230,120000,2,30,57,66608,66608,124528,1,0,2,0
19-19:05:1,125.35.94.173,3,231870,126450,173,102,0,5396,10193,30344,10077,56866,31477,115654,5,34,63,81600,136725,297600,4,3,1,0
19-19:38:46,123.113.134.181,3,216683,726240,161,534,32,32,49,82,65,83,1224,120000,6,23,72,81600,111530,326400,2,0,1,0
19-20:06:34,123.118.97.20,10,221947,580987,164,428,0,117,173,182,226,234,2048,3159,6,18,32,81664,165344,198656,3,0,4,0
19-20:05:57,125.33.249.202,3,235134,913932,165,642,75,75,2261,7537,4149,21323,13265,120000,6,22,33,87616,176042,277248,4,0,3,0
19-20:33:33,114.244.20.10,3,241374,733040,180,539,34,34,4734,10968,4458,18754,17946,120000,5,25,76,81600,193130,313920,4,2,1,1
